pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees,weekday
BTC/USDT:USDT,199.2465,199.2465,0.003,2026-04-02 11:30:00+00:00,2026-04-02 13:45:00+00:00,66415.5,65826.7,0.001,0.001,135,-0.010845689306289617,-2.1631266,exit_signal,63094.8,-0.05,63125.1,-0.05,65676.1,66447.4,False,liquidity_sweep_long,1.0,False,1775129400000,1775137500000,"[{'amount': 0.003, 'safe_price': 66415.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775129400000, 'ft_is_entry': True, 'ft_order_tag': 'liquidity_sweep_long', 'cost': 199.44574649999998}, {'amount': 0.003, 'safe_price': 65826.7, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775137500000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 197.67758009999997}]",0.0,3
BTC/USDT:USDT,198.6657,198.6657,0.003,2026-04-02 14:30:00+00:00,2026-04-02 20:15:00+00:00,66221.9,66856.8,0.001,0.001,345,-0.011683381263686269,-2.31876603,exit_signal,69532.9,-0.05,69528.0,-0.05,66217.2,67400.0,False,trend_pullback_short,1.0,True,1775140200000,1775160900000,"[{'amount': 0.003, 'safe_price': 66221.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775140200000, 'ft_is_entry': True, 'ft_order_tag': 'trend_pullback_short', 'cost': 198.86436569999998}, {'amount': 0.003, 'safe_price': 66856.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775160900000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 200.77097039999998}]",-0.014829928755847538,3
BTC/USDT:USDT,201.6297,201.6297,0.003,2026-04-04 13:45:00+00:00,2026-04-04 14:45:00+00:00,67209.9,67068.6,0.001,0.001,60,0.00010457579208611422,0.0210645,exit_signal,70570.3,-0.05,70353.8,-0.05,67003.7,67211.1,False,liquidity_sweep_short,1.0,True,1775310300000,1775313900000,"[{'amount': 0.003, 'safe_price': 67209.9, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775310300000, 'ft_is_entry': True, 'ft_order_tag': 'liquidity_sweep_short', 'cost': 201.83132969999997}, {'amount': 0.003, 'safe_price': 67068.6, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775313900000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 201.40700579999998}]",0.0,5
BTC/USDT:USDT,202.2324,202.2324,0.003,2026-04-05 15:45:00+00:00,2026-04-05 17:45:00+00:00,67410.8,67277.4,0.001,0.001,120,-2.570408202740114e-07,-5.193e-05,roi,70781.3,-0.05,70488.8,-0.05,67132.2,67428.0,False,liquidity_sweep_short,1.0,True,1775403900000,1775411100000,"[{'amount': 0.003, 'safe_price': 67410.8, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775403900000, 'ft_is_entry': True, 'ft_order_tag': 'liquidity_sweep_short', 'cost': 202.4346324}, {'amount': 0.003, 'safe_price': 67277.4, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775411100000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 202.03403219999998}]",0.003812672605620525,6
BTC/USDT:USDT,208.5384,208.5384,0.003,2026-04-06 14:30:00+00:00,2026-04-06 16:30:00+00:00,69512.8,69863.7,0.001,0.001,120,0.0030356524261243964,0.63368315,roi,66037.2,-0.05,66593.2,-0.05,69264.1,70098.1,False,trend_pullback_long,1.0,False,1775485800000,1775493000000,"[{'amount': 0.003, 'safe_price': 69512.8, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775485800000, 'ft_is_entry': True, 'ft_order_tag': 'trend_pullback_long', 'cost': 208.7469384}, {'amount': 0.003, 'safe_price': 69863.7, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775493000000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 209.80069109999997}]",-0.0008873509415674006,0
BTC/USDT:USDT,206.091,206.091,0.003,2026-04-07 08:15:00+00:00,2026-04-07 10:15:00+00:00,68697.0,68877.1,0.001,0.001,120,0.0006184173484055575,0.1275777,roi,65262.2,-0.05,65758.1,-0.05,68626.7,69219.0,False,trend_pullback_long,1.0,False,1775549700000,1775556900000,"[{'amount': 0.003, 'safe_price': 68697.0, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775549700000, 'ft_is_entry': True, 'ft_order_tag': 'trend_pullback_long', 'cost': 206.297091}, {'amount': 0.003, 'safe_price': 68877.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775556900000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 206.83793129999998}]",0.0,1
BTC/USDT:USDT,204.9282,204.9282,0.003,2026-04-07 11:15:00+00:00,2026-04-07 13:15:00+00:00,68309.4,68600.0,0.001,0.001,120,0.002247671080950249,0.4610718,roi,64894.0,-0.05,65183.2,-0.05,68039.8,68613.8,False,liquidity_sweep_long,1.0,False,1775560500000,1775567700000,"[{'amount': 0.003, 'safe_price': 68309.4, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775560500000, 'ft_is_entry': True, 'ft_order_tag': 'liquidity_sweep_long', 'cost': 205.13312819999996}, {'amount': 0.003, 'safe_price': 68600.0, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775567700000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 206.0058}]",0.0,1
BTC/USDT:USDT,204.3825,204.3825,0.003,2026-04-07 14:30:00+00:00,2026-04-07 16:30:00+00:00,68127.5,68358.1,0.001,0.001,120,0.0013061942522145818,0.26723021,exit_signal,64721.2,-0.05,65010.3,-0.05,67711.0,68431.8,False,liquidity_sweep_long,1.0,False,1775572200000,1775579400000,"[{'amount': 0.003, 'safe_price': 68127.5, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775572200000, 'ft_is_entry': True, 'ft_order_tag': 'liquidity_sweep_long', 'cost': 204.58688249999997}, {'amount': 0.003, 'safe_price': 68358.1, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775579400000, 'ft_is_entry': False, 'ft_order_tag': 'exit_signal', 'cost': 205.2793743}]",-0.015112994816832835,1
BTC/USDT:USDT,143.3004,214.9506,0.002,2026-04-08 12:00:00+00:00,2026-04-08 17:30:00+00:00,71650.2,71796.5,0.001,0.001,330,0.0036989913477348266,0.79589551,roi,68067.7,-0.05,68561.1,-0.05,70671.6,72858.5,False,trend_pullback_long,1.0,False,1775649600000,1775669400000,"[{'amount': 0.003, 'safe_price': 71650.2, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775649600000, 'ft_is_entry': True, 'ft_order_tag': 'trend_pullback_long', 'cost': 215.1655506}, {'amount': 0.001, 'safe_price': 72590.4, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775654100000, 'ft_is_entry': False, 'ft_order_tag': 'partial_exit', 'cost': 72.6629904}, {'amount': 0.002, 'safe_price': 71796.5, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775669400000, 'ft_is_entry': False, 'ft_order_tag': 'roi', 'cost': 143.73659299999997}]",-0.005770487329493004,2
BTC/USDT:USDT,213.8826,213.8826,0.003,2026-04-09 08:45:00+00:00,2026-04-09 14:45:00+00:00,71294.2,70849.6,0.001,0.001,360,-0.008221673605393458,-1.7602314,time_stop,67729.5,-0.05,67956.4,-0.05,70470.2,71533.0,False,trend_pullback_long,1.0,False,1775724300000,1775745900000,"[{'amount': 0.003, 'safe_price': 71294.2, 'ft_order_side': 'buy', 'order_filled_timestamp': 1775724300000, 'ft_is_entry': True, 'ft_order_tag': 'trend_pullback_long', 'cost': 214.09648259999997}, {'amount': 0.003, 'safe_price': 70849.6, 'ft_order_side': 'sell', 'order_filled_timestamp': 1775745900000, 'ft_is_entry': False, 'ft_order_tag': 'time_stop', 'cost': 212.7613488}]",0.0,3
